timestamp,close
2024-01-01,42000
2024-01-02,42750
2024-01-03,41900
2024-01-04,41150
2024-01-05,41850
2024-01-06,42550
2024-01-07,43300
2024-01-08,42400
2024-01-09,41600
2024-01-10,42300
2024-01-11,43150
2024-01-12,43950
2024-01-13,43200
2024-01-14,42450
2024-01-15,41700
2024-01-16,42500
2024-01-17,43400
2024-01-18,44200
2024-01-19,43350
2024-01-20,42550
2024-01-21,41800
2024-01-22,41050
2024-01-23,41850
2024-01-24,42700
2024-01-25,43600
2024-01-26,44450
2024-01-27,43650
2024-01-28,42800
2024-01-29,41950
2024-01-30,42750
2024-01-31,43650
2024-02-01,44550
2024-02-02,45400
2024-02-03,44600
2024-02-04,43750
2024-02-05,42900
2024-02-06,43800
2024-02-07,44700
2024-02-08,45600
2024-02-09,44750
2024-02-10,43900
